source,target,distance,duration,pm
0,120,0.31240245285968204,0,72.0930478377
0,309,0.3777524399231349,0,61.6608872979
0,326,0.5802307907786026,0,67.2092026481
0,166,0.6192767036973561,0,77.7476749914
0,268,0.7146004067924137,0,67.269211196
0,149,0.765444711367718,0,81.7813531621
0,272,0.8291012243524306,0,48.07760091390001
0,5,0.8953904730394994,0,76.9910188843
0,118,0.9127259436091305,0,77.6481734864
1,338,0.4722403783636493,0,60.8126910815
1,294,0.5421402105709685,0,70.9168956959
1,306,0.6859691699811353,0,55.6059862308
1,152,0.8338878057095406,0,71.3841189542
1,74,0.8353594500750859,0,75.3109547828
1,18,0.9384240605822483,0,77.1657407476
1,28,0.9762206284551845,0,76.4428413975
1,222,0.9973397029784852,0,66.37464485859999
1,216,1.1054086843134714,0,74.9393993009
2,184,0.8550365990119311,0,60.8177868858
2,264,0.8813805579775353,0,70.0731934033
2,302,0.929119536668331,0,76.7783417243
2,132,1.0245330768973262,0,69.1875356347
2,138,1.1452360849538041,0,68.8844873755
2,163,1.3205504616764467,0,60.7025272429
2,226,1.341146459882328,0,67.95204228850001
2,45,1.3419059450891577,0,77.1143133982
2,282,1.3893182193956368,0,65.9800547207
3,177,0.5722784309082087,0,82.8829616046
3,15,0.623981357103304,0,82.66253574779999
3,111,0.9009276656858951,0,70.93111600659999
3,11,1.0698029909010822,0,61.66656297390001
3,332,1.084687469194917,0,67.6554981801
3,55,1.087330210743748,0,71.0529137571
3,253,1.1979155587780792,0,78.0665201707
3,289,1.217318097659389,0,77.23967801100001
3,82,1.2815901277411321,0,73.57972019600001
4,27,0.36165233675154,0,71.1402668045
4,165,0.43398944198274275,0,43.5423933819
4,139,0.5251513486581142,0,78.33771847850001
4,65,0.5637422315402335,0,79.7640361795
4,257,0.5770301437122403,0,67.0741025388
4,260,0.5937430304248665,0,69.987682799
4,150,0.6609640479011563,0,76.7812260557
4,41,0.8324775078777251,0,67.5753996258
4,271,0.8691091567783783,0,74.14765543899999
5,272,0.31755810448455674,0,48.07760091390001
5,195,0.44483093669564083,0,55.4870826708
5,326,0.592029342245394,0,67.2092026481
5,120,0.5943125385799549,0,72.0930478377
5,308,0.6463334322024648,0,83.8734698308
5,67,0.6544886842925599,0,71.3257727816
5,133,0.7027809825461596,0,61.452211193000004
5,263,0.7444762127330126,0,75.9255085876
5,268,0.7589144627329137,0,67.269211196
6,315,0.3150519358178729,0,79.9585255857
6,281,0.3906216276884235,0,72.5318286267
6,89,0.48916518669484466,0,61.3296155598
6,98,0.514730511741059,0,70.6516892842
6,26,0.6019910018745727,0,77.2854769087
6,250,0.6114902536782825,0,59.4316808904
6,102,0.6393795687023558,0,94.93728557040001
6,245,0.8733315308462425,0,51.38666189510001
6,335,0.9182066845221578,0,70.5791503184
7,75,0.29264273614298175,0,73.7024580651
7,259,0.3020395018296131,0,73.7665396324
7,63,0.3245526517357628,0,77.0884917602
7,198,0.3505367370913416,0,89.7953549309
7,346,0.42078653708178004,0,69.3739588173
7,97,0.4442831438844305,0,56.8320623285
7,146,0.4679840048474329,0,75.3200530245
7,85,0.5114438778067342,0,74.5192949252
7,228,0.6328600788431851,0,66.635230758
8,78,0.4815106964394641,0,68.670324345
8,48,0.48325730791464033,0,85.5014569162
8,191,0.5590173451826521,0,79.4434469327
8,298,0.5669242768013889,0,84.1459358039
8,207,0.5737121605589856,0,67.8991732946
8,275,0.6213918963194749,0,73.46672758369998
8,10,0.8497367613127261,0,68.5036702937
8,136,0.8699981295938642,0,63.59076869720001
8,245,1.0147253636487883,0,51.38666189510001
9,235,0.508088763319562,0,80.4685940834
9,83,0.6127427840026463,0,76.31658127680001
9,108,0.6638360054421664,0,79.4089913448
9,205,0.6804006177120097,0,75.9494451633
